gene,regulator_class,condition_specificity,n_signif_conditions,peak_condition
PKN1,condition-specific,1.0,3,Rest
PKN2,condition-specific,1.0,3,Rest
PKN3,condition-specific,0.988,3,Stim48hr
PKNOX1,global,0.381,3,Stim48hr
PKP4,condition-specific,,3,Rest
PLA2G12A,global,0.533,3,Stim48hr
PLA2G4A,condition-specific,0.942,2,Stim8hr
PLA2G4C,condition-specific,1.0,1,Stim48hr
PLA2G6,global,0.429,3,Stim48hr
PLAA,global,0.333,3,Rest
PLAAT3,condition-specific,,1,Stim48hr
PLAAT4,condition-specific,1.0,3,Stim48hr
PLAC8,condition-specific,1.0,3,Stim48hr
PLAUR,condition-specific,,3,Rest
PLBD2,condition-specific,0.7,3,Stim8hr
PLCB2,condition-specific,0.6,3,Stim48hr
PLCB3,global,0.4,3,Stim8hr
PLCG1,condition-specific,0.694,3,Stim8hr
PLCG2,condition-specific,1.0,2,Stim48hr
PLCL2,condition-specific,0.667,3,Stim8hr
PLCXD1,condition-specific,0.667,3,Stim8hr
PLCXD2,global,0.5,3,Stim48hr
PLD2,condition-specific,0.625,2,Stim48hr
PLD6,condition-specific,1.0,3,Rest
PLEC,condition-specific,0.873,3,Stim48hr
PLEKHA1,global,0.333,3,Rest
PLEKHA2,condition-specific,,3,Stim8hr
PLEKHA3,global,0.333,3,Stim8hr
PLEKHA8,global,0.4,3,Rest
PLEKHB2,condition-specific,,3,Stim8hr
PLEKHF1,condition-specific,0.667,3,Rest
PLEKHF2,global,0.571,3,Rest
PLEKHG1,condition-specific,1.0,1,Stim48hr
PLEKHG2,condition-specific,0.75,3,Rest
PLEKHG3,condition-specific,,2,Stim48hr
PLEKHG4,condition-specific,0.625,2,Stim8hr
PLEKHH2,condition-specific,1.0,1,Stim8hr
PLEKHJ1,condition-specific,1.0,1,Stim8hr
PLEKHM2,condition-specific,1.0,3,Rest
PLEKHM3,condition-specific,1.0,3,Stim8hr
PLEKHO1,condition-specific,,3,Stim8hr
PLEKHO2,condition-specific,0.7,3,Stim8hr
PLGRKT,global,0.458,3,Stim48hr
PLIN3,condition-specific,1.0,3,Stim8hr
PLK3,condition-specific,1.0,3,Stim8hr
PLOD1,condition-specific,0.6,3,Stim48hr
PLOD3,condition-specific,1.0,1,Stim48hr
PLP2,condition-specific,,3,Stim48hr
PLPBP,condition-specific,1.0,3,Stim48hr
PLPP1,condition-specific,,3,Stim8hr
PLPP5,condition-specific,,3,Stim8hr
PLS1,condition-specific,,1,Stim48hr
PLSCR1,condition-specific,1.0,3,Rest
PLTP,condition-specific,,1,Stim48hr
PLXNA3,condition-specific,1.0,3,Stim48hr
PLXNA4,condition-specific,1.0,1,Stim8hr
PLXNB2,condition-specific,1.0,2,Stim48hr
PLXNC1,condition-specific,,3,Stim8hr
PM20D2,global,0.5,3,Stim8hr
PMAIP1,condition-specific,0.789,3,Rest
PMCH,condition-specific,1.0,2,Stim8hr
PML,condition-specific,1.0,3,Rest
PMM1,condition-specific,0.667,3,Rest
PMM2,condition-specific,0.66,2,Stim8hr
PMPCB,condition-specific,0.727,2,Stim8hr
PMS1,global,0.444,3,Stim48hr
PMS2,global,0.5,3,Stim48hr
PMVK,condition-specific,0.923,3,Stim48hr
PNMA1,global,0.5,3,Stim8hr
PNP,global,0.5,3,Stim8hr
PNPLA2,global,0.333,3,Rest
PNPLA4,condition-specific,0.75,3,Stim48hr
PNPLA8,condition-specific,1.0,3,Stim8hr
PNPO,condition-specific,0.857,3,Stim8hr
PNPT1,global,0.508,3,Stim8hr
PNRC1,condition-specific,0.667,3,Stim48hr
PNRC2,condition-specific,0.815,3,Stim8hr
POC1A,global,0.375,3,Stim48hr
POC1B,global,0.459,3,Stim8hr
POC5,condition-specific,0.667,3,Stim48hr
PODXL,condition-specific,0.714,2,Stim48hr
PODXL2,condition-specific,1.0,1,Stim8hr
POFUT1,global,0.486,3,Stim8hr
POFUT2,condition-specific,0.667,3,Stim8hr
POGK,condition-specific,0.974,3,Rest
POGLUT1,condition-specific,0.667,3,Stim8hr
POGLUT2,global,0.5,3,Stim48hr
POGLUT3,condition-specific,0.611,3,Stim8hr
POGZ,condition-specific,0.979,3,Stim48hr
POLB,condition-specific,,3,Stim8hr
POLD4,condition-specific,0.6,3,Stim8hr
POLDIP2,global,0.453,3,Stim48hr
POLDIP3,condition-specific,0.729,3,Stim48hr
POLE3,condition-specific,0.66,3,Stim48hr
POLE4,global,0.467,3,Stim8hr
POLG,condition-specific,0.84,3,Stim48hr
POLG2,condition-specific,0.908,3,Stim48hr
POLH,condition-specific,0.667,3,Stim8hr
POLI,global,0.5,3,Stim48hr
POLK,global,0.5,3,Rest
POLL,global,0.5,3,Stim48hr
POLM,condition-specific,,3,Stim8hr
POLQ,condition-specific,1.0,3,Stim48hr
POLR2K,condition-specific,1.0,1,Stim8hr
POLR2L,condition-specific,0.846,2,Stim8hr
POLR3G,global,0.5,2,Stim8hr
POLR3GL,condition-specific,0.833,3,Stim48hr
POLR3H,condition-specific,1.0,1,Stim8hr
POLRMT,condition-specific,1.0,1,Stim48hr
POMGNT1,condition-specific,0.976,3,Rest
POMGNT2,condition-specific,1.0,3,Rest
POMT1,condition-specific,1.0,3,Stim48hr
POMT2,condition-specific,1.0,1,Stim8hr
PON2,condition-specific,1.0,1,Stim48hr
POR,global,0.5,3,Stim48hr
POU2AF1,global,0.5,2,Stim48hr
POU2F2,condition-specific,0.714,3,Stim48hr
POU6F1,condition-specific,1.0,1,Rest
PPARA,global,0.484,3,Stim8hr
PPARD,global,0.5,3,Rest
PPARG,condition-specific,,2,Stim8hr
PPARGC1B,condition-specific,1.0,1,Stim8hr
PPAT,condition-specific,1.0,1,Stim8hr
PPCDC,condition-specific,1.0,1,Stim8hr
PPCS,global,0.54,2,Stim8hr
PPDPF,global,0.546,3,Stim8hr
PPFIBP1,global,0.5,2,Stim48hr
PPHLN1,global,0.359,3,Rest
PPIA,condition-specific,1.0,3,Stim8hr
PPIB,global,0.5,3,Stim48hr
PPID,global,0.5,3,Stim8hr
PPIF,condition-specific,0.862,3,Rest
PPIG,global,0.5,3,Stim8hr
PPIH,condition-specific,0.616,3,Stim8hr
PPIL1,global,0.479,3,Rest
PPIL3,global,0.5,3,Rest
PPIP5K2,condition-specific,0.625,3,Stim48hr
PPM1A,condition-specific,1.0,3,Stim48hr
PPM1B,condition-specific,,3,Stim8hr
PPM1D,condition-specific,0.87,3,Rest
PPM1F,global,0.35,3,Stim8hr
PPM1G,condition-specific,0.833,3,Stim48hr
PPM1K,condition-specific,1.0,3,Stim48hr
PPM1L,condition-specific,1.0,1,Rest
PPM1M,condition-specific,1.0,3,Stim48hr
PPME1,global,0.5,3,Stim48hr
PPOX,condition-specific,1.0,2,Stim48hr
PPP1CA,condition-specific,1.0,3,Rest
PPP1CB,global,0.571,3,Stim8hr
PPP1CC,condition-specific,1.0,3,Rest
PPP1R11,global,0.462,3,Stim8hr
PPP1R12A,global,0.526,3,Rest
PPP1R12B,condition-specific,0.75,3,Stim48hr
PPP1R12C,condition-specific,0.94,3,Rest
PPP1R13B,condition-specific,0.667,2,Rest
PPP1R13L,condition-specific,0.606,3,Stim8hr
PPP1R14B,condition-specific,0.946,2,Stim48hr
PPP1R15A,condition-specific,0.788,3,Stim8hr
PPP1R15B,global,0.465,3,Rest
PPP1R16A,condition-specific,,1,Stim8hr
PPP1R16B,condition-specific,0.75,3,Stim48hr
PPP1R18,condition-specific,0.616,3,Stim8hr
PPP1R21,global,0.5,3,Rest
PPP1R35,condition-specific,0.667,3,Stim8hr
PPP1R37,global,0.526,3,Stim8hr
PPP1R3B,condition-specific,0.894,3,Rest
PPP1R3D,global,0.333,3,Stim8hr
PPP1R3E,condition-specific,0.8,2,Rest
PPP1R3F,condition-specific,,3,Stim8hr
PPP1R7,condition-specific,0.871,3,Stim48hr
PPP1R8,condition-specific,0.667,3,Stim48hr
PPP1R9B,condition-specific,0.786,3,Stim48hr
PPP2CB,condition-specific,0.8,2,Stim8hr
PPP2R1A,condition-specific,1.0,1,Stim8hr
PPP2R1B,condition-specific,0.6,3,Stim8hr
PPP2R2A,condition-specific,0.976,3,Stim48hr
PPP2R3B,condition-specific,0.6,3,Rest
PPP2R3C,condition-specific,0.891,3,Stim48hr
PPP2R5A,condition-specific,,3,Rest
PPP2R5B,condition-specific,,2,Stim48hr
PPP2R5C,condition-specific,0.905,2,Stim8hr
PPP2R5D,global,0.5,3,Rest
PPP2R5E,condition-specific,1.0,3,Stim48hr
PPP3CA,global,0.5,3,Rest
PPP3CB,global,0.333,3,Stim8hr
PPP3CC,condition-specific,1.0,3,Rest
PPP3R1,global,0.54,3,Stim8hr
PPP4C,global,0.491,3,Stim8hr
PPP4R1,condition-specific,1.0,3,Stim8hr
PPP4R2,condition-specific,0.909,3,Stim8hr
PPP4R3A,global,0.333,3,Rest
PPP4R3B,global,0.5,3,Rest
PPP5C,condition-specific,0.6,3,Stim8hr
PPP6C,global,0.425,3,Stim8hr
PPP6R1,global,0.5,3,Stim48hr
PPP6R2,condition-specific,0.992,3,Rest
PPP6R3,global,0.571,3,Rest
PPRC1,global,0.44,3,Stim48hr
PPT1,condition-specific,1.0,3,Stim48hr
PPT2,condition-specific,,2,Stim48hr
PPTC7,global,0.417,3,Stim48hr
PQBP1,global,0.528,3,Stim8hr
PRAF2,condition-specific,,3,Stim8hr
PRAG1,condition-specific,0.667,2,Stim48hr
PRCC,global,0.473,3,Stim8hr
PRCP,condition-specific,0.93,3,Rest
PRDM15,global,0.472,3,Stim8hr
PRDM4,condition-specific,0.625,3,Stim8hr
PRDM5,condition-specific,1.0,1,Rest
PRDX1,condition-specific,,3,Stim8hr
PRDX2,condition-specific,,3,Stim8hr
PRDX3,condition-specific,0.948,3,Rest
PRDX4,condition-specific,1.0,3,Stim8hr
PRDX5,condition-specific,0.6,3,Stim8hr
PRDX6,global,0.333,3,Stim48hr
PRELID1,condition-specific,0.72,3,Rest
PRELID2,condition-specific,,1,Stim48hr
PREP,global,0.556,3,Stim48hr
PREPL,global,0.5,3,Rest
PREX1,condition-specific,0.917,3,Rest
PRF1,condition-specific,0.683,3,Stim8hr
PRICKLE3,global,0.5,3,Stim48hr
PRIMPOL,global,0.513,2,Rest
PRKAA1,condition-specific,0.926,3,Stim8hr
PRKAB1,condition-specific,1.0,3,Stim48hr
PRKAB2,condition-specific,0.6,3,Stim48hr
PRKACA,global,0.5,3,Stim8hr
PRKACB,condition-specific,,3,Stim8hr
PRKAG1,condition-specific,,3,Stim8hr
PRKAR1A,global,0.414,3,Stim8hr
PRKAR2A,condition-specific,,3,Stim8hr
PRKCA,global,0.536,2,Stim8hr
PRKCB,global,0.333,3,Stim8hr
PRKCD,condition-specific,1.0,3,Stim8hr
PRKCH,condition-specific,0.717,3,Rest
PRKCI,global,0.5,3,Rest
PRKCQ,condition-specific,0.941,3,Stim48hr
PRKCSH,condition-specific,0.725,3,Stim8hr
PRKD2,global,0.573,3,Stim48hr
PRKD3,condition-specific,1.0,3,Rest
PRKDC,condition-specific,0.805,3,Stim48hr
PRKRA,global,0.413,3,Stim48hr
PRKX,condition-specific,0.95,2,Stim8hr
PRMT2,condition-specific,,3,Rest
PRMT3,condition-specific,0.667,3,Stim8hr
PRMT6,global,0.529,3,Stim8hr
PRMT9,condition-specific,0.811,3,Stim48hr
PRNP,condition-specific,0.692,3,Stim48hr
PRORP,condition-specific,0.927,3,Stim48hr
PROSER1,condition-specific,0.714,3,Stim8hr
PROSER3,condition-specific,,3,Stim8hr
PRPF38B,global,0.425,3,Stim8hr
PRPF39,global,0.557,3,Stim8hr
PRPF40B,condition-specific,1.0,2,Stim8hr
PRPS1,condition-specific,1.0,3,Stim48hr
PRPS2,condition-specific,1.0,1,Rest
PRPSAP1,global,0.5,3,Stim8hr
PRPSAP2,global,0.429,3,Rest
PRR11,condition-specific,0.6,3,Stim48hr
PRR12,global,0.464,3,Rest
PRR14,condition-specific,1.0,3,Stim8hr
PRR14L,global,0.438,3,Rest
PRR29,condition-specific,,1,Rest
PRR3,global,0.4,3,Stim48hr
PRR5,condition-specific,,2,Stim8hr
PRR5L,condition-specific,1.0,1,Rest
PRR7,condition-specific,1.0,1,Stim48hr
PRRC1,condition-specific,,3,Stim8hr
PRRC2A,global,0.513,3,Stim8hr
PRRC2C,condition-specific,0.679,3,Stim8hr
PRSS21,condition-specific,0.814,2,Rest
PRSS23,condition-specific,,2,Stim8hr
PRSS53,condition-specific,1.0,1,Stim48hr
PRUNE1,condition-specific,0.818,3,Stim8hr
PRX,condition-specific,,1,Stim48hr
PRXL2A,global,0.5,3,Rest
PRXL2B,condition-specific,0.941,3,Rest
PRXL2C,global,0.333,3,Stim8hr
PSAP,condition-specific,1.0,3,Stim48hr
PSAT1,condition-specific,0.75,3,Stim48hr
PSD4,global,0.333,3,Rest
PSEN1,condition-specific,,3,Stim8hr
PSEN2,condition-specific,1.0,1,Stim8hr
PSENEN,global,0.5,3,Rest
PSIP1,global,0.559,3,Stim48hr
PSKH1,global,0.571,3,Rest
PSMB10,global,0.333,3,Rest
PSMB5,condition-specific,0.842,3,Stim8hr
PSMB6,condition-specific,0.9,2,Stim8hr
PSMB8,condition-specific,0.952,3,Stim8hr
PSMB9,global,0.37,3,Stim48hr
PSMC3IP,global,0.5,3,Stim48hr
PSMC5,condition-specific,1.0,1,Stim8hr
PSMD10,global,0.529,3,Rest
PSMD5,global,0.5,3,Stim48hr
PSMD9,condition-specific,1.0,3,Stim48hr
PSME1,global,0.5,3,Stim8hr
PSME2,global,0.5,3,Rest
PSME3,condition-specific,1.0,2,Stim8hr
PSME3IP1,condition-specific,0.714,3,Stim48hr
PSME4,global,0.333,3,Rest
PSMF1,global,0.449,3,Stim8hr
PSMG2,global,0.548,3,Stim48hr
PSPC1,condition-specific,1.0,3,Rest
PSRC1,condition-specific,,2,Stim48hr
PSTPIP1,global,0.5,3,Rest
PSTPIP2,condition-specific,,2,Stim8hr
PTAR1,condition-specific,,3,Stim8hr
PTBP1,global,0.51,3,Stim8hr
PTBP2,global,0.412,3,Stim48hr
PTBP3,global,0.417,3,Stim48hr
PTCD2,condition-specific,0.885,3,Stim48hr
PTCH1,condition-specific,1.0,1,Rest
PTDSS1,condition-specific,0.8,3,Stim48hr
PTDSS2,condition-specific,0.676,2,Stim8hr
PTEN,global,0.582,3,Rest
PTER,condition-specific,,3,Stim8hr
PTGER2,condition-specific,0.667,3,Stim8hr
PTGER3,condition-specific,1.0,1,Rest
PTGER4,condition-specific,0.6,3,Stim8hr
PTGES2,global,0.333,3,Rest
PTGFRN,condition-specific,0.6,2,Stim8hr
PTGIR,condition-specific,,3,Stim8hr
PTGIS,condition-specific,1.0,2,Rest
PTGR2,condition-specific,1.0,1,Stim48hr
PTGR3,condition-specific,,2,Stim48hr
PTK2B,condition-specific,1.0,3,Stim8hr
PTMS,condition-specific,1.0,3,Stim8hr
PTOV1,global,0.5,3,Rest
PTP4A3,condition-specific,1.0,2,Stim8hr
PTPA,condition-specific,0.635,3,Stim48hr
PTPDC1,condition-specific,1.0,1,Stim48hr
PTPMT1,global,0.519,2,Rest
PTPN1,condition-specific,0.644,3,Rest
PTPN11,condition-specific,0.855,3,Stim48hr
PTPN12,condition-specific,1.0,3,Stim48hr
PTPN18,condition-specific,,3,Rest
PTPN2,global,0.467,3,Rest
PTPN22,condition-specific,1.0,3,Stim48hr
PTPN4,condition-specific,0.667,2,Stim48hr
PTPN6,condition-specific,0.818,3,Rest
PTPN7,global,0.444,3,Stim48hr
PTPN9,condition-specific,0.667,3,Stim48hr
PTPRA,global,0.5,3,Stim48hr
PTPRC,global,0.583,3,Stim48hr
PTPRE,condition-specific,0.667,2,Rest
PTRH1,condition-specific,1.0,2,Stim48hr
PTRH2,global,0.503,3,Rest
PTRHD1,global,0.375,3,Stim8hr
PTS,condition-specific,1.0,3,Stim48hr
PTTG1IP,global,0.571,3,Stim8hr
PUDP,condition-specific,0.642,2,Stim8hr
PUM1,global,0.437,3,Stim48hr
PUM2,condition-specific,0.8,3,Stim48hr
PUM3,condition-specific,1.0,1,Stim48hr
PURA,global,0.571,3,Rest
PURB,global,0.5,3,Rest
PUS1,global,0.462,3,Stim48hr
PUS3,condition-specific,0.627,3,Stim8hr
PUS7,condition-specific,1.0,3,Rest
PUS7L,global,0.538,3,Rest
PUSL1,global,0.333,3,Rest
PVR,global,0.5,2,Stim8hr
PWWP2A,global,0.5,3,Stim8hr
PXK,global,0.5,3,Rest
PXMP4,global,0.432,3,Stim8hr
PXN,global,0.5,3,Stim48hr
PXYLP1,condition-specific,,3,Rest
PYCARD,global,0.5,2,Rest
PYCR1,condition-specific,1.0,2,Stim48hr
PYCR2,condition-specific,1.0,3,Rest
PYCR3,global,0.333,3,Rest
PYGB,condition-specific,0.889,3,Rest
PYGM,condition-specific,0.801,2,Rest
PYGO2,global,0.5,3,Rest
PYHIN1,condition-specific,,1,Stim48hr
PYM1,global,0.5,3,Rest
PYROXD1,condition-specific,0.667,3,Rest
PYURF,condition-specific,0.7,3,Rest
QDPR,global,0.581,3,Stim8hr
QKI,condition-specific,0.778,3,Stim48hr
QNG1,global,0.562,3,Rest
QPCTL,condition-specific,1.0,2,Stim8hr
QRICH1,global,0.582,3,Stim8hr
QRSL1,condition-specific,0.705,3,Stim48hr
QSER1,global,0.5,3,Stim48hr
QSOX1,condition-specific,1.0,3,Rest
QSOX2,condition-specific,0.667,3,Stim48hr
QTRT1,condition-specific,1.0,3,Stim48hr
QTRT2,condition-specific,,3,Rest
R3HCC1,global,0.4,3,Rest
R3HCC1L,global,0.425,3,Rest
R3HDM1,global,0.588,3,Rest
R3HDM4,global,0.5,3,Stim8hr
RAB10,condition-specific,0.719,3,Stim8hr
RAB11A,condition-specific,0.8,3,Stim8hr
RAB11B,condition-specific,,3,Stim8hr
RAB11FIP1,global,0.574,3,Stim8hr
RAB11FIP2,condition-specific,1.0,3,Stim8hr
RAB11FIP3,condition-specific,1.0,1,Stim8hr
RAB11FIP5,global,0.455,3,Stim8hr
RAB12,condition-specific,0.667,3,Stim8hr
RAB13,condition-specific,1.0,1,Stim48hr
RAB14,condition-specific,1.0,3,Stim48hr
RAB18,condition-specific,1.0,3,Stim48hr
RAB1A,condition-specific,0.963,3,Stim48hr
RAB1B,global,0.5,3,Stim8hr
RAB20,condition-specific,1.0,1,Stim48hr
RAB21,condition-specific,0.864,3,Stim48hr
RAB22A,condition-specific,1.0,2,Stim48hr
RAB23,global,0.368,3,Rest
RAB27A,condition-specific,1.0,3,Stim48hr
RAB27B,condition-specific,1.0,1,Stim48hr
RAB28,global,0.333,3,Rest
RAB29,condition-specific,1.0,3,Stim8hr
RAB2A,global,0.5,3,Rest
RAB2B,global,0.561,3,Stim48hr
RAB30,condition-specific,1.0,3,Stim8hr
RAB33A,global,0.524,3,Stim8hr
RAB33B,condition-specific,1.0,3,Stim48hr
RAB35,global,0.5,3,Stim8hr
RAB37,condition-specific,,2,Stim48hr
RAB39B,global,0.5,3,Stim48hr
RAB3A,condition-specific,,1,Stim48hr
RAB3GAP1,condition-specific,1.0,3,Stim8hr
RAB3GAP2,global,0.571,3,Rest
RAB3IP,condition-specific,1.0,2,Stim8hr
RAB40C,condition-specific,0.714,3,Stim8hr
RAB4A,global,0.538,3,Rest
RAB5A,condition-specific,0.6,3,Stim48hr
RAB5B,global,0.556,3,Stim48hr
RAB5C,global,0.5,3,Stim48hr
RAB5IF,condition-specific,1.0,3,Stim8hr
RAB7A,condition-specific,0.615,3,Rest
RAB8A,condition-specific,1.0,3,Stim8hr
RAB8B,global,0.429,3,Rest
RAB9A,condition-specific,0.947,3,Stim8hr
RABAC1,global,0.5,3,Rest
RABEP1,global,0.429,3,Stim8hr
RABEP2,global,0.4,3,Stim8hr
RABEPK,condition-specific,0.778,3,Stim8hr
RABGAP1,global,0.333,3,Rest
RABGAP1L,global,0.5,3,Stim8hr
RABGEF1,condition-specific,0.706,3,Stim48hr
RABGGTB,condition-specific,1.0,1,Stim8hr
RABIF,condition-specific,1.0,3,Rest
RABL6,condition-specific,1.0,3,Rest
RAC1,condition-specific,1.0,3,Stim8hr
RAC2,condition-specific,0.877,3,Stim48hr
RAC3,condition-specific,1.0,1,Stim48hr
RAD1,condition-specific,1.0,1,Stim48hr
RAD18,global,0.5,3,Stim48hr
RAD21,condition-specific,0.809,2,Stim48hr
RAD23A,global,0.399,3,Rest
RAD23B,condition-specific,0.75,3,Stim48hr
RAD50,condition-specific,0.858,3,Stim48hr
RAD51AP1,condition-specific,0.762,3,Rest
RAD51B,condition-specific,0.714,3,Stim48hr
RAD51D,condition-specific,0.652,3,Stim48hr
RAD52,condition-specific,,2,Stim8hr
RAD54B,condition-specific,0.6,3,Stim8hr
RAD54L,global,0.375,3,Stim8hr
RADX,condition-specific,1.0,3,Stim48hr
RAI1,global,0.444,3,Rest
RALA,condition-specific,,3,Stim8hr
RALB,condition-specific,1.0,3,Stim8hr
RALBP1,global,0.458,3,Stim48hr
RALGAPA1,condition-specific,1.0,3,Stim48hr
RALGAPA2,global,0.4,3,Rest
RALGAPB,condition-specific,0.745,3,Rest
RALGPS1,condition-specific,1.0,1,Rest
RALY,condition-specific,,3,Stim8hr
RAMP1,condition-specific,1.0,3,Stim48hr
RANBP10,condition-specific,1.0,3,Rest
RANBP3,global,0.421,3,Stim8hr
RANBP6,global,0.4,3,Stim48hr
RANBP9,condition-specific,1.0,3,Stim8hr
RANGRF,condition-specific,1.0,3,Rest
RAP1A,global,0.346,3,Stim8hr
RAP1GAP2,condition-specific,1.0,1,Rest
RAP1GDS1,condition-specific,0.667,3,Stim8hr
RAP2A,condition-specific,0.911,3,Stim8hr
RAP2B,condition-specific,0.8,3,Stim48hr
RAP2C,condition-specific,,3,Rest
RAPGEF6,condition-specific,1.0,1,Stim8hr
RARA,global,0.488,3,Stim8hr
RARG,global,0.5,3,Rest
RARS2,condition-specific,,1,Stim48hr
RASA1,condition-specific,1.0,3,Stim48hr
RASA2,global,0.599,3,Rest
RASA3,condition-specific,0.625,3,Stim48hr
RASAL3,condition-specific,0.899,3,Stim48hr
RASGRF2,global,0.571,3,Stim8hr
RASGRP1,global,0.584,3,Stim8hr
RASGRP2,condition-specific,1.0,2,Stim48hr
RASGRP3,condition-specific,,3,Stim8hr
RASSF1,condition-specific,1.0,3,Rest
RASSF2,global,0.5,3,Stim8hr
RASSF3,condition-specific,0.667,2,Stim8hr
RASSF7,global,0.5,3,Stim8hr
RAVER1,condition-specific,0.675,3,Stim8hr
RB1,condition-specific,1.0,3,Stim48hr
RB1CC1,global,0.481,3,Stim8hr
RBAK,global,0.417,3,Stim8hr
RBBP7,condition-specific,1.0,3,Stim8hr
RBCK1,condition-specific,0.979,3,Stim48hr
RBFA,condition-specific,0.881,3,Stim48hr
RBIS,condition-specific,0.733,3,Stim48hr
RBKS,condition-specific,1.0,1,Stim48hr
RBL1,condition-specific,0.812,3,Stim8hr
RBL2,condition-specific,0.615,3,Stim8hr
RBM10,condition-specific,0.628,3,Stim48hr
RBM12,global,0.478,3,Stim8hr
RBM12B,global,0.429,3,Stim8hr
RBM15,condition-specific,0.778,3,Stim48hr
RBM15B,condition-specific,0.778,3,Stim8hr
RBM17,condition-specific,1.0,3,Stim8hr
RBM18,condition-specific,0.89,3,Stim48hr
RBM23,condition-specific,1.0,3,Rest
RBM26,condition-specific,0.667,2,Stim8hr
RBM27,global,0.545,3,Stim8hr
RBM3,global,0.5,3,Rest
RBM33,condition-specific,0.668,3,Stim8hr
RBM34,global,0.583,2,Rest
RBM38,condition-specific,0.667,3,Rest
RBM41,condition-specific,0.84,2,Rest
RBM43,global,0.5,3,Stim8hr
RBM45,global,0.444,3,Rest
RBM4B,condition-specific,1.0,3,Rest
RBM5,condition-specific,0.611,3,Stim48hr
RBM6,global,0.556,3,Stim8hr
RBM7,condition-specific,0.679,3,Stim8hr
RBMS2,condition-specific,1.0,1,Stim48hr
RBMXL1,condition-specific,1.0,2,Stim48hr
RBPJ,global,0.506,3,Stim48hr
RC3H1,global,0.548,3,Stim48hr
RC3H2,condition-specific,0.615,3,Stim48hr
RCAN1,condition-specific,,1,Stim48hr
RCAN2,condition-specific,,1,Stim48hr
RCAN3,global,0.424,3,Stim48hr
RCBTB1,global,0.506,3,Stim8hr
RCBTB2,global,0.5,3,Stim8hr
RCC1L,condition-specific,0.953,3,Stim48hr
RCC2,condition-specific,0.667,3,Stim8hr
RCCD1,global,0.405,3,Stim48hr
RCE1,condition-specific,0.714,3,Stim8hr
RCHY1,global,0.469,3,Stim8hr
RCN1,condition-specific,0.778,3,Rest
RCN2,global,0.5,3,Stim8hr
RCN3,condition-specific,1.0,1,Stim48hr
RCOR1,global,0.585,3,Stim48hr
RCOR3,condition-specific,0.945,3,Rest
RCSD1,condition-specific,1.0,3,Stim48hr
RDH10,global,0.5,3,Stim8hr
RDH11,condition-specific,1.0,3,Stim48hr
RDH13,condition-specific,0.747,3,Stim8hr
RDH14,global,0.4,3,Rest
RDM1,global,0.5,2,Stim48hr
RDX,condition-specific,0.714,3,Stim8hr
RECK,condition-specific,0.6,2,Stim48hr
RECQL,global,0.333,3,Rest
RECQL5,condition-specific,,1,Rest
REEP3,global,0.556,3,Stim48hr
REEP4,global,0.333,3,Stim8hr
REEP5,condition-specific,0.655,3,Rest
REL,condition-specific,0.963,3,Stim8hr
RELA,condition-specific,0.724,3,Stim8hr
RELB,global,0.4,3,Rest
RELCH,global,0.421,3,Stim48hr
RELL1,condition-specific,1.0,3,Stim48hr
RELL2,global,0.531,2,Stim8hr
RELT,global,0.412,3,Stim48hr
RENBP,condition-specific,0.636,3,Rest
REPIN1,global,0.5,3,Stim48hr
REPS1,condition-specific,1.0,3,Rest
RER1,condition-specific,1.0,1,Stim48hr
RESF1,global,0.576,3,Rest
REST,global,0.52,3,Stim8hr
RETREG2,global,0.455,3,Stim8hr
RETREG3,condition-specific,1.0,1,Rest
RETSAT,condition-specific,0.727,3,Stim8hr
REV3L,condition-specific,1.0,1,Rest
REXO1,global,0.5,3,Rest
REXO2,condition-specific,,3,Stim8hr
REXO4,condition-specific,0.737,3,Stim8hr
REXO5,condition-specific,0.714,2,Rest
RFC1,condition-specific,1.0,1,Stim8hr
RFFL,condition-specific,0.75,3,Stim8hr
RFK,global,0.5,3,Stim8hr
RFNG,global,0.385,3,Stim48hr
RFT1,condition-specific,0.938,2,Stim8hr
RFTN1,condition-specific,0.667,3,Stim48hr
RFWD3,condition-specific,0.704,3,Rest
RFX1,global,0.45,3,Stim8hr
RFX2,global,0.5,3,Stim48hr
RFX3,condition-specific,,3,Stim8hr
RFX5,global,0.39,3,Rest
RFX7,global,0.333,3,Rest
RFXANK,condition-specific,0.891,3,Stim8hr
RFXAP,global,0.351,3,Stim8hr
RGCC,condition-specific,1.0,3,Rest
RGL2,global,0.444,3,Stim48hr
RGL4,condition-specific,1.0,2,Stim48hr
RGS1,condition-specific,1.0,1,Rest
RGS10,global,0.429,3,Stim8hr
RGS14,global,0.5,3,Stim8hr
RGS16,condition-specific,,2,Stim8hr
RGS19,global,0.5,3,Stim8hr
RGS2,condition-specific,1.0,3,Stim48hr
RHBDD1,global,0.364,3,Stim48hr
RHBDD2,global,0.333,3,Rest
RHBDD3,global,0.581,3,Stim8hr
RHBDF2,global,0.436,3,Stim48hr
RHEB,condition-specific,0.783,3,Stim8hr
RHEBL1,condition-specific,0.833,3,Rest
RHNO1,global,0.541,3,Stim48hr
RHOA,condition-specific,1.0,1,Stim48hr
RHOB,condition-specific,1.0,2,Stim8hr
RHOBTB3,condition-specific,,1,Stim8hr
RHOC,condition-specific,0.975,3,Rest
RHOF,global,0.411,3,Rest
RHOG,condition-specific,1.0,3,Stim8hr
